,ball_no,total_innings,mean_runs,cumal_runs,batsman
0,1,199.0,0.311557788945,0.311557788945,ViratKohli
1,2,197.0,0.406091370558,0.717649159503,ViratKohli
2,3,195.0,0.461538461538,1.17918762104,ViratKohli
3,4,189.0,0.62962962963,1.80881725067,ViratKohli
4,5,187.0,0.695187165775,2.50400441645,ViratKohli
5,6,178.0,0.719101123596,3.22310554004,ViratKohli
6,7,176.0,0.744318181818,3.96742372186,ViratKohli
7,8,174.0,0.534482758621,4.50190648048,ViratKohli
8,9,170.0,0.635294117647,5.13720059813,ViratKohli
9,10,165.0,0.824242424242,5.96144302237,ViratKohli
10,11,165.0,0.793939393939,6.75538241631,ViratKohli
11,12,163.0,0.840490797546,7.59587321385,ViratKohli
12,13,160.0,0.91875,8.51462321385,ViratKohli
13,14,156.0,0.692307692308,9.20693090616,ViratKohli
14,15,155.0,0.890322580645,10.0972534868,ViratKohli
15,16,155.0,0.961290322581,11.0585438094,ViratKohli
16,17,154.0,0.909090909091,11.9676347185,ViratKohli
17,18,152.0,0.835526315789,12.8031610343,ViratKohli
18,19,146.0,0.808219178082,13.6113802124,ViratKohli
19,20,143.0,0.776223776224,14.3876039886,ViratKohli
20,21,141.0,0.77304964539,15.160653634,ViratKohli
21,22,138.0,0.869565217391,16.0302188514,ViratKohli
22,23,132.0,0.939393939394,16.9696127908,ViratKohli
23,24,132.0,0.901515151515,17.8711279423,ViratKohli
24,25,131.0,0.847328244275,18.7184561865,ViratKohli
25,26,129.0,0.868217054264,19.5866732408,ViratKohli
26,27,129.0,0.883720930233,20.470394171,ViratKohli
27,28,126.0,0.825396825397,21.2957909964,ViratKohli
28,29,125.0,0.768,22.0637909964,ViratKohli
29,30,123.0,0.634146341463,22.6979373379,ViratKohli
30,31,120.0,0.866666666667,23.5646040046,ViratKohli
31,32,120.0,0.783333333333,24.3479373379,ViratKohli
32,33,120.0,0.916666666667,25.2646040046,ViratKohli
33,34,117.0,0.905982905983,26.1705869105,ViratKohli
